datetime,location_id,parameter_id,parameter_value
2010-10-23,sha,15,3250652
2010-10-24,sha,15,3267194
2010-10-25,sha,15,3268397
2010-10-26,sha,15,3269841
2010-10-27,sha,15,3269360
2010-10-28,sha,15,3268638
2010-10-29,sha,15,3269601
2010-10-30,sha,15,3270804
2010-10-31,sha,15,3272489
2010-11-01,sha,15,3273933
2010-11-02,sha,15,3274655
2010-11-03,sha,15,3272970
2010-11-04,sha,15,3272489
2010-11-05,sha,15,3268397
2010-11-06,sha,15,3264547
2010-11-07,sha,15,3274655
2010-11-08,sha,15,3272248
2010-11-09,sha,15,3271045
2010-11-10,sha,15,3268638
2010-11-11,sha,15,3266713
2010-11-12,sha,15,3262144
2010-11-13,sha,15,3258313
2010-11-14,sha,15,3254003
2010-11-15,sha,15,3250652
2010-11-16,sha,15,3246821
2010-11-17,sha,15,3241075
2010-11-18,sha,15,3237014
2010-11-19,sha,15,3234155
2010-11-20,sha,15,3237729
2010-11-21,sha,15,3236776
2010-11-22,sha,15,3236061
2010-11-23,sha,15,3238205
2010-11-24,sha,15,3238205
2010-11-25,sha,15,3236299
2010-11-26,sha,15,3234155
2010-11-27,sha,15,3233679
2010-11-28,sha,15,3231535
2010-11-29,sha,15,3228438
2010-11-30,sha,15,3224150
2010-12-01,sha,15,3220100
2010-12-02,sha,15,3218909
2010-12-03,sha,15,3216288
2010-12-04,sha,15,3215573
2010-12-05,sha,15,3220815
2010-12-06,sha,15,3238920
2010-12-07,sha,15,3254003
2010-12-08,sha,15,3270323
2010-12-09,sha,15,3287411
2010-12-10,sha,15,3309581
2010-12-11,sha,15,3323623
2010-12-12,sha,15,3332586
2010-12-13,sha,15,3337685
2010-12-14,sha,15,3338172
2010-12-15,sha,15,3332344
2010-12-16,sha,15,3323381
2010-12-17,sha,15,3317325
2010-12-18,sha,15,3312480
2010-12-19,sha,15,3316841
2010-12-20,sha,15,3324108
2010-12-21,sha,15,3338172
2010-12-22,sha,15,3362286
2010-12-23,sha,15,3370360
2010-12-24,sha,15,3373786
2010-12-25,sha,15,3384554
2010-12-26,sha,15,3405950
2010-12-27,sha,15,3421013
2010-12-28,sha,15,3445045
2010-12-29,sha,15,3477182
2010-12-30,sha,15,3486686
2010-12-31,sha,15,3489195
2011-01-01,sha,15,3486435
2011-01-02,sha,15,3480177
2011-01-03,sha,15,3469693
2011-01-04,sha,15,3458210
2011-01-05,sha,15,3444300
2011-01-06,sha,15,3432630
2011-01-07,sha,15,3423732
2011-01-08,sha,15,3415328
2011-01-09,sha,15,3408163
2011-01-10,sha,15,3402999
2011-01-11,sha,15,3401277
2011-01-12,sha,15,3397588
2011-01-13,sha,15,3396850
2011-01-14,sha,15,3399064
2011-01-15,sha,15,3401277
2011-01-16,sha,15,3408655
2011-01-17,sha,15,3417306
2011-01-18,sha,15,3423979
2011-01-19,sha,15,3427686
2011-01-20,sha,15,3430899
2011-01-21,sha,15,3437345
2011-01-22,sha,15,3444549
2011-01-23,sha,15,3449765
2011-01-24,sha,15,3457465
