datetime,dist_meters,location_id,location_name,sim_start_time,scenario_name,model_type,temp_50
2019-08-03,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.585934
2019-08-04,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.41697
2019-08-05,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.137302
2019-08-06,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.034695
2019-08-07,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.980602
2019-08-08,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.12602
2019-08-09,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.24672
2019-08-10,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.22198
2019-08-11,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.138344
2019-08-12,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.05971
2019-08-13,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.99506
2019-08-14,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.00109
2019-08-15,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.03573
2019-08-16,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.107723
2019-08-17,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.097675
2019-08-18,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.017666
2019-08-19,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.044067
2019-08-20,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.149273
2019-08-21,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.139038
2019-08-22,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.97258
2019-08-23,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.090622
2019-08-24,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.15233
2019-08-25,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,55.04666
2019-08-26,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.839237
2019-08-27,57403,bsf,ballsferry,2019-05-24,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,54.755566
