draft_date,actual_upstream,actual_downstream
2/10/2011,50,0
2/11/2011,151,0
2/12/2011,151,0
2/13/2011,151,0
2/14/2011,88,0
2/15/2011,101,0
2/16/2011,76,0
2/17/2011,126,0
2/18/2011,277,0
2/19/2011,250,0
2/20/2011,202,0
2/21/2011,187,0
2/22/2011,192,0
2/23/2011,182,0
2/24/2011,173,0
2/25/2011,187,0
2/26/2011,192,0
2/27/2011,181,0
2/28/2011,155,0
3/1/2011,150,0
3/2/2011,118,0
3/3/2011,133,0
3/4/2011,131,0
3/5/2011,116,1
3/6/2011,116,1
3/7/2011,154,1
3/8/2011,138,1
3/9/2011,100,1
3/10/2011,80,1
3/11/2011,89,1
3/12/2011,126,1
3/13/2011,108,1
3/14/2011,117,1
3/15/2011,137,1
3/16/2011,133,1
3/17/2011,118,1
3/18/2011,122,1
3/19/2011,140,1
3/20/2011,180,1
3/21/2011,220,1
3/22/2011,197,1
3/23/2011,139,1
3/24/2011,93,1
3/25/2011,89,1
3/26/2011,66,1
3/27/2011,63,1
3/28/2011,65,1
3/29/2011,99,1
3/30/2011,93,1
3/31/2011,111,1
4/1/2011,99,1
4/2/2011,101,1
4/3/2011,99,1
4/4/2011,108,1
4/5/2011,170,1
4/6/2011,446,1
4/7/2011,296,1
4/8/2011,270,1
4/9/2011,222,1
4/10/2011,213,0
4/11/2011,251,1
4/12/2011,264,0
4/13/2011,277,0
4/14/2011,298,0
4/15/2011,335,5
4/16/2011,387,5
4/17/2011,408,1
4/18/2011,469,20
4/19/2011,565,24
4/20/2011,762,24
4/21/2011,1065,30
4/22/2011,1229,28
4/23/2011,1318,24
4/24/2011,1411,77
4/25/2011,1738,90
4/26/2011,1743,177
4/27/2011,2250,185
4/28/2011,2729,276
4/29/2011,2856,204
4/30/2011,2805,210
5/1/2011,3013,266
5/2/2011,3340,198
5/3/2011,3727,242
5/4/2011,4199,264
5/5/2011,4067,270
5/6/2011,4199,253
5/7/2011,4238,308
5/8/2011,4271,242
5/9/2011,4375,233
5/10/2011,4079,211
5/11/2011,4302,339
5/12/2011,4322,253
5/13/2011,4233,292
5/14/2011,3946,423
5/15/2011,3765,406
5/16/2011,3541,418
5/17/2011,3271,378
5/18/2011,2721,219
5/19/2011,2362,399
5/20/2011,2580,399
5/21/2011,2623,381
5/22/2011,2858,318
5/23/2011,3054,353
5/24/2011,3016,438
5/25/2011,2852,352
5/26/2011,3055,403
5/27/2011,2534,374
5/28/2011,2425,412
5/29/2011,2684,410
5/30/2011,2228,361
5/31/2011,2213,349
6/1/2011,2260,178
6/2/2011,2331,176
6/3/2011,2402,163
6/4/2011,2219,145
6/5/2011,2147,136
6/6/2011,2093,141
6/7/2011,2147,153
6/8/2011,2271,170
6/9/2011,2486,180
6/10/2011,2905,184
6/11/2011,3127,213
6/12/2011,3365,225
6/13/2011,3542,241
6/14/2011,3961,246
6/15/2011,4049,252
6/16/2011,3917,265
6/17/2011,3755,281
6/18/2011,3890,284
6/19/2011,3933,264
6/20/2011,3982,272
6/21/2011,3981,286
6/22/2011,4066,298
6/23/2011,4070,281
6/24/2011,4146,287
6/25/2011,4204,529
6/26/2011,4195,444
6/27/2011,4184,411
6/28/2011,4229,314
6/29/2011,3983,242
6/30/2011,3763,250
7/1/2011,3640,243
7/2/2011,3595,288
7/3/2011,3639,274
7/4/2011,3757,232
7/5/2011,4002,347
7/6/2011,4007,302
7/7/2011,4245,418
7/8/2011,4342,453
7/9/2011,4427,459
7/10/2011,4457,539
7/11/2011,4490,386
7/12/2011,4460,462
7/13/2011,4214,438
7/14/2011,4131,425
7/15/2011,4123,458
7/16/2011,4052,471
7/17/2011,3968,493
7/18/2011,3843,437
7/19/2011,4022,501
7/20/2011,4029,560
7/21/2011,4014,539
7/22/2011,3967,550
7/23/2011,3953,549
7/24/2011,3935,531
7/25/2011,3897,568
7/26/2011,3919,333
7/27/2011,3949,417
7/28/2011,4010,444
7/29/2011,3949,358
7/30/2011,3942,361
7/31/2011,3908,412
8/1/2011,3832,421
8/2/2011,3802,437
8/3/2011,3829,415
8/4/2011,3794,426
8/5/2011,3782,516
8/6/2011,3788,517
8/7/2011,3784,466
8/8/2011,3775,468
8/9/2011,3843,384
8/10/2011,3801,475
8/11/2011,3760,439
8/12/2011,3713,420
8/13/2011,3773,427
8/14/2011,3690,338
8/15/2011,3684,331
8/16/2011,3657,394
8/17/2011,3551,417
8/18/2011,3747,358
8/19/2011,3727,418
8/20/2011,3705,431
8/21/2011,3603,424
8/22/2011,3579,409
8/23/2011,3593,351
8/24/2011,3570,238
8/25/2011,3499,254
8/26/2011,3350,233
8/27/2011,3302,217
8/28/2011,3099,184
8/29/2011,3029,181
8/30/2011,2848,185
8/31/2011,2745,173
