date,location,race,counts
1987-04-28,Keswick to ACID Dam,Winter,0
1987-04-28,ACID Dam to Highway 44 Bridge,Winter,1
1987-04-28,Highway 44 Bridge to Airport Road Bridge,Winter,4
1987-04-28,Airport Road Bridge to Balls Ferry Bridge,Winter,1
1987-04-28,Balls Ferry Bridge to Battle Creek,Winter,0
1987-04-28,Battle Creek to Jellys Ferry Bridge,Winter,0
1987-04-28,Jellys Ferry Bridge to Bend Bridge,Winter,0
1987-04-28,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-04-28,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1987-04-28,Tehama Bridge To Woodson Bridge,Winter,0
1987-04-28,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-04-28,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-04-28,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-05-19,Keswick to ACID Dam,Winter,0
1987-05-19,ACID Dam to Highway 44 Bridge,Winter,1
1987-05-19,Highway 44 Bridge to Airport Road Bridge,Winter,0
1987-05-19,Airport Road Bridge to Balls Ferry Bridge,Winter,0
1987-05-19,Balls Ferry Bridge to Battle Creek,Winter,5
1987-05-19,Battle Creek to Jellys Ferry Bridge,Winter,5
1987-05-19,Jellys Ferry Bridge to Bend Bridge,Winter,9
1987-05-19,Bend Bridge to Red Bluff Diversion Dam,Winter,1
1987-05-19,Red Bluff Diversion Dam to Tehama Bridge,Winter,1
1987-05-19,Tehama Bridge To Woodson Bridge,Winter,NA
1987-05-19,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-05-19,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-05-19,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-05-26,Keswick to ACID Dam,Winter,0
1987-05-26,ACID Dam to Highway 44 Bridge,Winter,3
1987-05-26,Highway 44 Bridge to Airport Road Bridge,Winter,6
1987-05-26,Airport Road Bridge to Balls Ferry Bridge,Winter,10
1987-05-26,Balls Ferry Bridge to Battle Creek,Winter,2
1987-05-26,Battle Creek to Jellys Ferry Bridge,Winter,9
1987-05-26,Jellys Ferry Bridge to Bend Bridge,Winter,15
1987-05-26,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-05-26,Red Bluff Diversion Dam to Tehama Bridge,Winter,2
1987-05-26,Tehama Bridge To Woodson Bridge,Winter,0
1987-05-26,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-05-26,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-05-26,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-06-02,Keswick to ACID Dam,Winter,0
1987-06-02,ACID Dam to Highway 44 Bridge,Winter,2
1987-06-02,Highway 44 Bridge to Airport Road Bridge,Winter,15
1987-06-02,Airport Road Bridge to Balls Ferry Bridge,Winter,10
1987-06-02,Balls Ferry Bridge to Battle Creek,Winter,15
1987-06-02,Battle Creek to Jellys Ferry Bridge,Winter,27
1987-06-02,Jellys Ferry Bridge to Bend Bridge,Winter,9
1987-06-02,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-06-02,Red Bluff Diversion Dam to Tehama Bridge,Winter,1
1987-06-02,Tehama Bridge To Woodson Bridge,Winter,0
1987-06-02,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-06-02,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-06-02,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-06-09,Keswick to ACID Dam,Winter,0
1987-06-09,ACID Dam to Highway 44 Bridge,Winter,5
1987-06-09,Highway 44 Bridge to Airport Road Bridge,Winter,6
1987-06-09,Airport Road Bridge to Balls Ferry Bridge,Winter,9
1987-06-09,Balls Ferry Bridge to Battle Creek,Winter,3
1987-06-09,Battle Creek to Jellys Ferry Bridge,Winter,13
1987-06-09,Jellys Ferry Bridge to Bend Bridge,Winter,6
1987-06-09,Bend Bridge to Red Bluff Diversion Dam,Winter,2
1987-06-09,Red Bluff Diversion Dam to Tehama Bridge,Winter,6
1987-06-09,Tehama Bridge To Woodson Bridge,Winter,0
1987-06-09,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-06-09,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-06-09,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-06-16,Keswick to ACID Dam,Winter,0
1987-06-16,ACID Dam to Highway 44 Bridge,Winter,5
1987-06-16,Highway 44 Bridge to Airport Road Bridge,Winter,5
1987-06-16,Airport Road Bridge to Balls Ferry Bridge,Winter,2
1987-06-16,Balls Ferry Bridge to Battle Creek,Winter,2
1987-06-16,Battle Creek to Jellys Ferry Bridge,Winter,5
1987-06-16,Jellys Ferry Bridge to Bend Bridge,Winter,5
1987-06-16,Bend Bridge to Red Bluff Diversion Dam,Winter,2
1987-06-16,Red Bluff Diversion Dam to Tehama Bridge,Winter,3
1987-06-16,Tehama Bridge To Woodson Bridge,Winter,0
1987-06-16,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-06-16,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-06-16,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-06-23,Keswick to ACID Dam,Winter,1
1987-06-23,ACID Dam to Highway 44 Bridge,Winter,1
1987-06-23,Highway 44 Bridge to Airport Road Bridge,Winter,2
1987-06-23,Airport Road Bridge to Balls Ferry Bridge,Winter,9
1987-06-23,Balls Ferry Bridge to Battle Creek,Winter,1
1987-06-23,Battle Creek to Jellys Ferry Bridge,Winter,2
1987-06-23,Jellys Ferry Bridge to Bend Bridge,Winter,1
1987-06-23,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-06-23,Red Bluff Diversion Dam to Tehama Bridge,Winter,1
1987-06-23,Tehama Bridge To Woodson Bridge,Winter,0
1987-06-23,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-06-23,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-06-23,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-06-30,Keswick to ACID Dam,Winter,0
1987-06-30,ACID Dam to Highway 44 Bridge,Winter,3
1987-06-30,Highway 44 Bridge to Airport Road Bridge,Winter,3
1987-06-30,Airport Road Bridge to Balls Ferry Bridge,Winter,7
1987-06-30,Balls Ferry Bridge to Battle Creek,Winter,0
1987-06-30,Battle Creek to Jellys Ferry Bridge,Winter,0
1987-06-30,Jellys Ferry Bridge to Bend Bridge,Winter,0
1987-06-30,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-06-30,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1987-06-30,Tehama Bridge To Woodson Bridge,Winter,0
1987-06-30,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-06-30,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-06-30,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-07-07,Keswick to ACID Dam,Winter,0
1987-07-07,ACID Dam to Highway 44 Bridge,Winter,10
1987-07-07,Highway 44 Bridge to Airport Road Bridge,Winter,2
1987-07-07,Airport Road Bridge to Balls Ferry Bridge,Winter,5
1987-07-07,Balls Ferry Bridge to Battle Creek,Winter,0
1987-07-07,Battle Creek to Jellys Ferry Bridge,Winter,2
1987-07-07,Jellys Ferry Bridge to Bend Bridge,Winter,0
1987-07-07,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-07-07,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1987-07-07,Tehama Bridge To Woodson Bridge,Winter,0
1987-07-07,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-07-07,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-07-07,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-07-14,Keswick to ACID Dam,Winter,0
1987-07-14,ACID Dam to Highway 44 Bridge,Winter,15
1987-07-14,Highway 44 Bridge to Airport Road Bridge,Winter,10
1987-07-14,Airport Road Bridge to Balls Ferry Bridge,Winter,3
1987-07-14,Balls Ferry Bridge to Battle Creek,Winter,0
1987-07-14,Battle Creek to Jellys Ferry Bridge,Winter,2
1987-07-14,Jellys Ferry Bridge to Bend Bridge,Winter,0
1987-07-14,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1987-07-14,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1987-07-14,Tehama Bridge To Woodson Bridge,Winter,NA
1987-07-14,Woodson Bridge to Hamilton City Bridge,Winter,NA
1987-07-14,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1987-07-14,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1987-10-05,Keswick to ACID Dam,Fall,0
1987-10-05,ACID Dam to Highway 44 Bridge,Fall,40
1987-10-05,Highway 44 Bridge to Airport Road Bridge,Fall,54
1987-10-05,Airport Road Bridge to Balls Ferry Bridge,Fall,20
1987-10-05,Balls Ferry Bridge to Battle Creek,Fall,13
1987-10-05,Battle Creek to Jellys Ferry Bridge,Fall,13
1987-10-05,Jellys Ferry Bridge to Bend Bridge,Fall,4
1987-10-05,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1987-10-05,Red Bluff Diversion Dam to Tehama Bridge,Fall,19
1987-10-05,Tehama Bridge To Woodson Bridge,Fall,NA
1987-10-05,Woodson Bridge to Hamilton City Bridge,Fall,NA
1987-10-05,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1987-10-05,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1987-10-09,Keswick to ACID Dam,Fall,0
1987-10-09,ACID Dam to Highway 44 Bridge,Fall,164
1987-10-09,Highway 44 Bridge to Airport Road Bridge,Fall,226
1987-10-09,Airport Road Bridge to Balls Ferry Bridge,Fall,72
1987-10-09,Balls Ferry Bridge to Battle Creek,Fall,36
1987-10-09,Battle Creek to Jellys Ferry Bridge,Fall,30
1987-10-09,Jellys Ferry Bridge to Bend Bridge,Fall,22
1987-10-09,Bend Bridge to Red Bluff Diversion Dam,Fall,1
1987-10-09,Red Bluff Diversion Dam to Tehama Bridge,Fall,74
1987-10-09,Tehama Bridge To Woodson Bridge,Fall,10
1987-10-09,Woodson Bridge to Hamilton City Bridge,Fall,4
1987-10-09,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1987-10-09,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1987-10-13,Keswick to ACID Dam,Fall,42
1987-10-13,ACID Dam to Highway 44 Bridge,Fall,254
1987-10-13,Highway 44 Bridge to Airport Road Bridge,Fall,488
1987-10-13,Airport Road Bridge to Balls Ferry Bridge,Fall,226
1987-10-13,Balls Ferry Bridge to Battle Creek,Fall,77
1987-10-13,Battle Creek to Jellys Ferry Bridge,Fall,50
1987-10-13,Jellys Ferry Bridge to Bend Bridge,Fall,66
1987-10-13,Bend Bridge to Red Bluff Diversion Dam,Fall,7
1987-10-13,Red Bluff Diversion Dam to Tehama Bridge,Fall,194
1987-10-13,Tehama Bridge To Woodson Bridge,Fall,37
1987-10-13,Woodson Bridge to Hamilton City Bridge,Fall,22
1987-10-13,Hamilton City Bridge to Ord Ferry Bridge,Fall,17
1987-10-13,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1987-10-28,Keswick to ACID Dam,Fall,49
1987-10-28,ACID Dam to Highway 44 Bridge,Fall,291
1987-10-28,Highway 44 Bridge to Airport Road Bridge,Fall,780
1987-10-28,Airport Road Bridge to Balls Ferry Bridge,Fall,370
1987-10-28,Balls Ferry Bridge to Battle Creek,Fall,184
1987-10-28,Battle Creek to Jellys Ferry Bridge,Fall,204
1987-10-28,Jellys Ferry Bridge to Bend Bridge,Fall,176
1987-10-28,Bend Bridge to Red Bluff Diversion Dam,Fall,41
1987-10-28,Red Bluff Diversion Dam to Tehama Bridge,Fall,533
1987-10-28,Tehama Bridge To Woodson Bridge,Fall,262
1987-10-28,Woodson Bridge to Hamilton City Bridge,Fall,101
1987-10-28,Hamilton City Bridge to Ord Ferry Bridge,Fall,20
1987-10-28,Ord Ferry Bridge To Princeton Ferry,Fall,2
1987-11-12,Keswick to ACID Dam,Fall,279
1987-11-12,ACID Dam to Highway 44 Bridge,Fall,305
1987-11-12,Highway 44 Bridge to Airport Road Bridge,Fall,1083
1987-11-12,Airport Road Bridge to Balls Ferry Bridge,Fall,496
1987-11-12,Balls Ferry Bridge to Battle Creek,Fall,278
1987-11-12,Battle Creek to Jellys Ferry Bridge,Fall,314
1987-11-12,Jellys Ferry Bridge to Bend Bridge,Fall,218
1987-11-12,Bend Bridge to Red Bluff Diversion Dam,Fall,88
1987-11-12,Red Bluff Diversion Dam to Tehama Bridge,Fall,748
1987-11-12,Tehama Bridge To Woodson Bridge,Fall,355
1987-11-12,Woodson Bridge to Hamilton City Bridge,Fall,226
1987-11-12,Hamilton City Bridge to Ord Ferry Bridge,Fall,115
1987-11-12,Ord Ferry Bridge To Princeton Ferry,Fall,24
1987-11-25,Keswick to ACID Dam,Fall,593
1987-11-25,ACID Dam to Highway 44 Bridge,Fall,320
1987-11-25,Highway 44 Bridge to Airport Road Bridge,Fall,1435
1987-11-25,Airport Road Bridge to Balls Ferry Bridge,Fall,494
1987-11-25,Balls Ferry Bridge to Battle Creek,Fall,241
1987-11-25,Battle Creek to Jellys Ferry Bridge,Fall,331
1987-11-25,Jellys Ferry Bridge to Bend Bridge,Fall,291
1987-11-25,Bend Bridge to Red Bluff Diversion Dam,Fall,83
1987-11-25,Red Bluff Diversion Dam to Tehama Bridge,Fall,749
1987-11-25,Tehama Bridge To Woodson Bridge,Fall,384
1987-11-25,Woodson Bridge to Hamilton City Bridge,Fall,248
1987-11-25,Hamilton City Bridge to Ord Ferry Bridge,Fall,146
1987-11-25,Ord Ferry Bridge To Princeton Ferry,Fall,47
1988-01-20,Keswick to ACID Dam,Late-Fall,38
1988-01-20,ACID Dam to Highway 44 Bridge,Late-Fall,16
1988-01-20,Highway 44 Bridge to Airport Road Bridge,Late-Fall,76
1988-01-20,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,35
1988-01-20,Balls Ferry Bridge to Battle Creek,Late-Fall,3
1988-01-20,Battle Creek to Jellys Ferry Bridge,Late-Fall,3
1988-01-20,Jellys Ferry Bridge to Bend Bridge,Late-Fall,1
1988-01-20,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,0
1988-01-20,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,1
1988-01-20,Tehama Bridge To Woodson Bridge,Late-Fall,1
1988-01-20,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1988-01-20,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1988-01-20,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1988-02-11,Keswick to ACID Dam,Late-Fall,10
1988-02-11,ACID Dam to Highway 44 Bridge,Late-Fall,17
1988-02-11,Highway 44 Bridge to Airport Road Bridge,Late-Fall,38
1988-02-11,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,20
1988-02-11,Balls Ferry Bridge to Battle Creek,Late-Fall,4
1988-02-11,Battle Creek to Jellys Ferry Bridge,Late-Fall,2
1988-02-11,Jellys Ferry Bridge to Bend Bridge,Late-Fall,2
1988-02-11,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,0
1988-02-11,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,1
1988-02-11,Tehama Bridge To Woodson Bridge,Late-Fall,0
1988-02-11,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1988-02-11,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1988-02-11,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1988-03-16,Keswick to ACID Dam,Late-Fall,10
1988-03-16,ACID Dam to Highway 44 Bridge,Late-Fall,17
1988-03-16,Highway 44 Bridge to Airport Road Bridge,Late-Fall,38
1988-03-16,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,20
1988-03-16,Balls Ferry Bridge to Battle Creek,Late-Fall,4
1988-03-16,Battle Creek to Jellys Ferry Bridge,Late-Fall,2
1988-03-16,Jellys Ferry Bridge to Bend Bridge,Late-Fall,2
1988-03-16,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,0
1988-03-16,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,1
1988-03-16,Tehama Bridge To Woodson Bridge,Late-Fall,0
1988-03-16,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1988-03-16,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1988-03-16,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1988-04-13,Keswick to ACID Dam,Late-Fall,0
1988-04-13,ACID Dam to Highway 44 Bridge,Late-Fall,0
1988-04-13,Highway 44 Bridge to Airport Road Bridge,Late-Fall,5
1988-04-13,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,0
1988-04-13,Balls Ferry Bridge to Battle Creek,Late-Fall,0
1988-04-13,Battle Creek to Jellys Ferry Bridge,Late-Fall,0
1988-04-13,Jellys Ferry Bridge to Bend Bridge,Late-Fall,1
1988-04-13,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,0
1988-04-13,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,0
1988-04-13,Tehama Bridge To Woodson Bridge,Late-Fall,0
1988-04-13,Woodson Bridge to Hamilton City Bridge,Late-Fall,0
1988-04-13,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,0
1988-04-13,Ord Ferry Bridge To Princeton Ferry,Late-Fall,0
1988-05-04,Keswick to ACID Dam,Winter,0
1988-05-04,ACID Dam to Highway 44 Bridge,Winter,3
1988-05-04,Highway 44 Bridge to Airport Road Bridge,Winter,12
1988-05-04,Airport Road Bridge to Balls Ferry Bridge,Winter,1
1988-05-04,Balls Ferry Bridge to Battle Creek,Winter,0
1988-05-04,Battle Creek to Jellys Ferry Bridge,Winter,3
1988-05-04,Jellys Ferry Bridge to Bend Bridge,Winter,7
1988-05-04,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-05-04,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1988-05-04,Tehama Bridge To Woodson Bridge,Winter,0
1988-05-04,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-05-04,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-05-04,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-05-12,Keswick to ACID Dam,Winter,5
1988-05-12,ACID Dam to Highway 44 Bridge,Winter,31
1988-05-12,Highway 44 Bridge to Airport Road Bridge,Winter,8
1988-05-12,Airport Road Bridge to Balls Ferry Bridge,Winter,5
1988-05-12,Balls Ferry Bridge to Battle Creek,Winter,0
1988-05-12,Battle Creek to Jellys Ferry Bridge,Winter,0
1988-05-12,Jellys Ferry Bridge to Bend Bridge,Winter,0
1988-05-12,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-05-12,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1988-05-12,Tehama Bridge To Woodson Bridge,Winter,0
1988-05-12,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-05-12,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-05-12,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-05-18,Keswick to ACID Dam,Winter,5
1988-05-18,ACID Dam to Highway 44 Bridge,Winter,23
1988-05-18,Highway 44 Bridge to Airport Road Bridge,Winter,42
1988-05-18,Airport Road Bridge to Balls Ferry Bridge,Winter,9
1988-05-18,Balls Ferry Bridge to Battle Creek,Winter,5
1988-05-18,Battle Creek to Jellys Ferry Bridge,Winter,4
1988-05-18,Jellys Ferry Bridge to Bend Bridge,Winter,17
1988-05-18,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-05-18,Red Bluff Diversion Dam to Tehama Bridge,Winter,4
1988-05-18,Tehama Bridge To Woodson Bridge,Winter,0
1988-05-18,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-05-18,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-05-18,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-06-03,Keswick to ACID Dam,Winter,0
1988-06-03,ACID Dam to Highway 44 Bridge,Winter,48
1988-06-03,Highway 44 Bridge to Airport Road Bridge,Winter,52
1988-06-03,Airport Road Bridge to Balls Ferry Bridge,Winter,11
1988-06-03,Balls Ferry Bridge to Battle Creek,Winter,3
1988-06-03,Battle Creek to Jellys Ferry Bridge,Winter,2
1988-06-03,Jellys Ferry Bridge to Bend Bridge,Winter,20
1988-06-03,Bend Bridge to Red Bluff Diversion Dam,Winter,1
1988-06-03,Red Bluff Diversion Dam to Tehama Bridge,Winter,17
1988-06-03,Tehama Bridge To Woodson Bridge,Winter,16
1988-06-03,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-06-03,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-06-03,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-06-10,Keswick to ACID Dam,Winter,0
1988-06-10,ACID Dam to Highway 44 Bridge,Winter,56
1988-06-10,Highway 44 Bridge to Airport Road Bridge,Winter,77
1988-06-10,Airport Road Bridge to Balls Ferry Bridge,Winter,20
1988-06-10,Balls Ferry Bridge to Battle Creek,Winter,6
1988-06-10,Battle Creek to Jellys Ferry Bridge,Winter,5
1988-06-10,Jellys Ferry Bridge to Bend Bridge,Winter,23
1988-06-10,Bend Bridge to Red Bluff Diversion Dam,Winter,2
1988-06-10,Red Bluff Diversion Dam to Tehama Bridge,Winter,46
1988-06-10,Tehama Bridge To Woodson Bridge,Winter,16
1988-06-10,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-06-10,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-06-10,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-06-15,Keswick to ACID Dam,Winter,2
1988-06-15,ACID Dam to Highway 44 Bridge,Winter,66
1988-06-15,Highway 44 Bridge to Airport Road Bridge,Winter,115
1988-06-15,Airport Road Bridge to Balls Ferry Bridge,Winter,26
1988-06-15,Balls Ferry Bridge to Battle Creek,Winter,5
1988-06-15,Battle Creek to Jellys Ferry Bridge,Winter,1
1988-06-15,Jellys Ferry Bridge to Bend Bridge,Winter,28
1988-06-15,Bend Bridge to Red Bluff Diversion Dam,Winter,7
1988-06-15,Red Bluff Diversion Dam to Tehama Bridge,Winter,77
1988-06-15,Tehama Bridge To Woodson Bridge,Winter,55
1988-06-15,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-06-15,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-06-15,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-06-22,Keswick to ACID Dam,Winter,0
1988-06-22,ACID Dam to Highway 44 Bridge,Winter,28
1988-06-22,Highway 44 Bridge to Airport Road Bridge,Winter,36
1988-06-22,Airport Road Bridge to Balls Ferry Bridge,Winter,7
1988-06-22,Balls Ferry Bridge to Battle Creek,Winter,4
1988-06-22,Battle Creek to Jellys Ferry Bridge,Winter,1
1988-06-22,Jellys Ferry Bridge to Bend Bridge,Winter,11
1988-06-22,Bend Bridge to Red Bluff Diversion Dam,Winter,5
1988-06-22,Red Bluff Diversion Dam to Tehama Bridge,Winter,40
1988-06-22,Tehama Bridge To Woodson Bridge,Winter,22
1988-06-22,Woodson Bridge to Hamilton City Bridge,Winter,4
1988-06-22,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-06-22,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-06-27,Keswick to ACID Dam,Winter,0
1988-06-27,ACID Dam to Highway 44 Bridge,Winter,27
1988-06-27,Highway 44 Bridge to Airport Road Bridge,Winter,20
1988-06-27,Airport Road Bridge to Balls Ferry Bridge,Winter,4
1988-06-27,Balls Ferry Bridge to Battle Creek,Winter,3
1988-06-27,Battle Creek to Jellys Ferry Bridge,Winter,4
1988-06-27,Jellys Ferry Bridge to Bend Bridge,Winter,2
1988-06-27,Bend Bridge to Red Bluff Diversion Dam,Winter,3
1988-06-27,Red Bluff Diversion Dam to Tehama Bridge,Winter,12
1988-06-27,Tehama Bridge To Woodson Bridge,Winter,8
1988-06-27,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-06-27,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-06-27,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-07-06,Keswick to ACID Dam,Winter,0
1988-07-06,ACID Dam to Highway 44 Bridge,Winter,15
1988-07-06,Highway 44 Bridge to Airport Road Bridge,Winter,18
1988-07-06,Airport Road Bridge to Balls Ferry Bridge,Winter,4
1988-07-06,Balls Ferry Bridge to Battle Creek,Winter,4
1988-07-06,Battle Creek to Jellys Ferry Bridge,Winter,2
1988-07-06,Jellys Ferry Bridge to Bend Bridge,Winter,4
1988-07-06,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-07-06,Red Bluff Diversion Dam to Tehama Bridge,Winter,9
1988-07-06,Tehama Bridge To Woodson Bridge,Winter,4
1988-07-06,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-07-06,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-07-06,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-07-13,Keswick to ACID Dam,Winter,0
1988-07-13,ACID Dam to Highway 44 Bridge,Winter,0
1988-07-13,Highway 44 Bridge to Airport Road Bridge,Winter,7
1988-07-13,Airport Road Bridge to Balls Ferry Bridge,Winter,0
1988-07-13,Balls Ferry Bridge to Battle Creek,Winter,0
1988-07-13,Battle Creek to Jellys Ferry Bridge,Winter,0
1988-07-13,Jellys Ferry Bridge to Bend Bridge,Winter,0
1988-07-13,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-07-13,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1988-07-13,Tehama Bridge To Woodson Bridge,Winter,0
1988-07-13,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-07-13,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-07-13,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-07-28,Keswick to ACID Dam,Winter,0
1988-07-28,ACID Dam to Highway 44 Bridge,Winter,0
1988-07-28,Highway 44 Bridge to Airport Road Bridge,Winter,0
1988-07-28,Airport Road Bridge to Balls Ferry Bridge,Winter,0
1988-07-28,Balls Ferry Bridge to Battle Creek,Winter,0
1988-07-28,Battle Creek to Jellys Ferry Bridge,Winter,0
1988-07-28,Jellys Ferry Bridge to Bend Bridge,Winter,0
1988-07-28,Bend Bridge to Red Bluff Diversion Dam,Winter,0
1988-07-28,Red Bluff Diversion Dam to Tehama Bridge,Winter,0
1988-07-28,Tehama Bridge To Woodson Bridge,Winter,0
1988-07-28,Woodson Bridge to Hamilton City Bridge,Winter,NA
1988-07-28,Hamilton City Bridge to Ord Ferry Bridge,Winter,NA
1988-07-28,Ord Ferry Bridge To Princeton Ferry,Winter,NA
1988-09-01,Keswick to ACID Dam,Spring,0
1988-09-01,ACID Dam to Highway 44 Bridge,Spring,2
1988-09-01,Highway 44 Bridge to Airport Road Bridge,Spring,2
1988-09-01,Airport Road Bridge to Balls Ferry Bridge,Spring,1
1988-09-01,Balls Ferry Bridge to Battle Creek,Spring,0
1988-09-01,Battle Creek to Jellys Ferry Bridge,Spring,0
1988-09-01,Jellys Ferry Bridge to Bend Bridge,Spring,0
1988-09-01,Bend Bridge to Red Bluff Diversion Dam,Spring,0
1988-09-01,Red Bluff Diversion Dam to Tehama Bridge,Spring,0
1988-09-01,Tehama Bridge To Woodson Bridge,Spring,0
1988-09-01,Woodson Bridge to Hamilton City Bridge,Spring,NA
1988-09-01,Hamilton City Bridge to Ord Ferry Bridge,Spring,NA
1988-09-01,Ord Ferry Bridge To Princeton Ferry,Spring,NA
